iter	Passed	Remaining
691	23136	10297
692	23169	10264
693	23202	10230
694	23235	10196
695	23266	10162
696	23296	10127
697	23327	10093
698	23361	10059
699	23395	10026
700	23429	9993
701	23464	9960
702	23499	9927
703	23530	9893
704	23565	9860
705	23599	9827
706	23637	9796
707	23672	9763
708	23707	9730
709	23739	9696
710	23773	9663
711	23805	9629
712	23842	9597
713	23875	9563
714	23910	9530
715	23943	9497
716	23979	9464
717	24032	9438
718	24064	9404
719	24098	9371
720	24133	9338
721	24169	9306
722	24202	9272
723	24237	9239
724	24270	9205
725	24306	9173
726	24338	9139
727	24373	9106
728	24408	9073
729	24446	9041
730	24477	9007
731	24511	8974
732	24545	8940
733	24580	8908
734	24616	8875
735	24651	8842
736	24685	8809
737	24718	8775
738	24750	8741
739	24784	8708
740	24820	8675
741	24853	8641
742	24887	8608
743	24922	8575
744	24959	8543
745	24995	8510
746	25032	8478
747	25065	8444
748	25100	8411
749	25133	8377
750	25173	8346
751	25213	8315
752	25253	8283
753	25293	8252
754	25332	8220
755	25373	8189
756	25412	8157
757	25446	8124
758	25479	8090
759	25515	8057
760	25549	8024
761	25584	7991
762	25620	7958
763	25660	7926
764	25698	7894
765	25734	7861
766	25769	7828
767	25801	7794
768	25835	7760
769	25868	7726
770	25903	7693
771	25936	7660
772	25972	7627
773	26005	7593
774	26039	7559
775	26071	7525
776	26103	7491
777	26135	7457
778	26169	7424
779	26202	7390
780	26236	7356
781	26268	7322
782	26302	7289
783	26339	7256
784	26371	7222
785	26405	7189
786	26438	7155
787	26470	7121
788	26504	7088
789	26537	7054
790	26571	7020
791	26606	6987
792	26637	6953
793	26671	6919
794	26705	6886
795	26747	6854
796	26788	6823
797	26821	6789
798	26851	6754
799	26878	6719
800	26909	6685
801	26942	6651
802	26974	6617
803	27006	6583
804	27038	6549
805	27071	6515
806	27102	6481
807	27131	6447
808	27163	6413
809	27196	6379
810	27229	6345
811	27260	6311
812	27293	6277
813	27326	6244
814	27361	6210
815	27405	6179
816	27446	6147
817	27481	6114
818	27514	6080
819	27546	6046
820	27578	6012
821	27611	5979
822	27645	5945
823	27678	5912
824	27710	5878
825	27743	5844
826	27776	5810
827	27810	5777
828	27846	5743
829	27881	5710
830	27919	5677
831	27961	5646
832	28000	5613
833	28040	5581
834	28080	5548
835	28118	5516
836	28156	5483
837	28190	5449
838	28225	5416
839	28259	5382
840	28295	5349
841	28330	5316
842	28369	5283
843	28412	5251
844	28446	5217
845	28480	5184
846	28513	5150
847	28547	5117
848	28581	5083
849	28617	5050
850	28641	5014
851	28674	4981
852	28709	4947
853	28743	4913
854	28775	4880
855	28811	4846
856	28844	4813
857	28877	4779
858	28912	4745
859	28943	4711
860	28975	4677
861	29009	4644
862	29042	4610
863	29079	4577
864	29111	4543
865	29142	4509
866	29174	4475
867	29208	4441
868	29241	4408
869	29274	4374
870	29308	4340
871	29343	4307
872	29376	4273
873	29409	4239
874	29441	4205
875	29474	4172
876	29506	4138
877	29540	4104
878	29572	4070
879	29606	4037
880	29638	4003
881	29673	3969
882	29709	3936
883	29744	3903
884	29779	3869
885	29812	3835
886	29847	3802
887	29879	3768
888	29909	3734
889	29941	3700
890	29975	3667
891	30009	3633
892	30040	3599
893	30074	3565
894	30118	3533
895	30153	3499
896	30186	3466
897	30218	3432
898	30252	3398
899	30286	3365
900	30319	3331
901	30352	3297
902	30386	3264
903	30417	3230
904	30449	3196
905	30481	3162
906	30514	3128
907	30546	3095
908	30579	3061
909	30612	3027
910	30645	2993
911	30681	2960
912	30714	2926
913	30749	2893
914	30784	2859
915	30817	2826
916	30850	2792
917	30883	2758
