ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
129481-1303,Şehremini,Fatih,İstanbul,2.650.000 TL,70,65,1 + 1,1,5 Katlı,Yarı Bodrum,35 Yaşında,Kombi,,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney",200 TL,https://www.hepsiemlak.com/istanbul-fatih-sehremini-satilik/daire/129481-1303
129481-1457,Seyyid Ömer,Fatih,İstanbul,3.680.000 TL,75,70,2 + 1,1,5 Katlı,5. Kat,35 Yaşında,Kombi,Eşyalı,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney",300 TL,https://www.hepsiemlak.com/istanbul-fatih-seyyid-omer-satilik/daire/129481-1457
129481-1455,Silivrikapı,Fatih,İstanbul,11.400.000 TL,243,240,5 + 1,2,4 Katlı,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-fatih-silivrikapi-satilik/daire/129481-1455
134592-908,Yedi Eylül,Efeler,Aydın,4.200.000 TL,120,100,2 + 1,2,6 Katlı,3. Kat,16 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat İrtifakı,,,https://www.hepsiemlak.com/aydin-efeler-yedi-eylul-satilik/daire/134592-908
12671-624,Kızılay,Çankaya,Ankara,4.900.000 TL,90,79,3 + 1,1,5 Katlı,Giriş Katı,45 Yaşında,Merkezi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",2.500 TL,https://www.hepsiemlak.com/ankara-cankaya-kizilay-satilik/daire/12671-624
131736-556,İbrahimağa,Develi,Kayseri,3.550.000 TL,105,89,2 + 1,2,6 Katlı,En Üst Kat,3 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Batı",,https://www.hepsiemlak.com/kayseri-develi-ibrahimaga-satilik/daire/131736-556
1077-67498,Caddebostan,Kadıköy,İstanbul,30.750.000 TL,137,100,3 + 1,1,10 Katlı,8. Kat,8 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-satilik/daire/1077-67498
164939-395,Kamil Ocak,Keçiören,Ankara,3.680.000 TL,120,110,3 + 1,1,3 Katlı,3. Kat,33 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/ankara-kecioren-kamil-ocak-satilik/daire/164939-395
11065-2130,Bağcılar,Çankaya,Ankara,11.000.000 TL,280,250,5 + 1,3,2 Katlı,2. Kat,21 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",700 TL,https://www.hepsiemlak.com/ankara-cankaya-bagcilar-satilik/daire/11065-2130
11065-2134,Ayrancı,Çankaya,Ankara,17.600.000 TL,220,180,4 + 1,2,20 Katlı,13. Kat,21 Yaşında,Merkezi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Doğu, Batı",9.600 TL,https://www.hepsiemlak.com/ankara-cankaya-ayranci-satilik/daire/11065-2134
