ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
168367-28,Pınarbaşı,Keçiören,Ankara,3.790.000 TL,120,110,3 + 1,1,5 Katlı,Giriş Katı,35 Yaşında,Kombi,Eşyalı Değil,Boş,Tapu Yok,Güney,200 TL,https://www.hepsiemlak.com/ankara-kecioren-pinarbasi-satilik/daire/168367-28
161933-96,Sülek,Manavgat,Antalya,7.900.000 TL,88,80,2 + 1,2,1 Katlı,Bahçe Katı,Sıfır Bina,Klima,Eşyalı Değil,Boş,Tapu Yok,Güney,,https://www.hepsiemlak.com/antalya-manavgat-sulek-satilik/mustakil-ev/161933-96
144584-126,Cumhuriyet,Beylikdüzü,İstanbul,3.450.000 TL,250,219,4 + 1,1,5 Katlı,5. Kat,1 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,Güney,,https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-satilik/daire/144584-126
125916-410,Ata,Efeler,Aydın,3.200.000 TL,51,40,1 + 1,1,3 Katlı,Ara Kat,2 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat İrtifakı,"Kuzey, Güney",,https://www.hepsiemlak.com/aydin-efeler-ata-satilik/daire/125916-410
23826-4767,Suadiye,Kadıköy,İstanbul,95.000.000 TL,180,140,4 + 1,1,4 Katlı,1. Kat,8 Yaşında,Merkezi (Pay Öl...,,Boş,Kat Mülkiyeti,,30.000 TL,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/23826-4767
31770-39094,Caddebostan,Kadıköy,İstanbul,19.950.000 TL,85,68,2 + 1,2,8 Katlı,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu",,https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-satilik/daire/31770-39094
23826-4771,Fenerbahçe,Kadıköy,İstanbul,43.000.000 TL,175,140,4 + 1,2,8 Katlı,5. Kat,9 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-kadikoy-fenerbahce-satilik/daire/23826-4771
128979-564,Ortabayır,Kağıthane,İstanbul,7.900.000 TL,105,85,3 + 1,1,4 Katlı,Ara Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-kagithane-ortabayir-satilik/daire/128979-564
169846-4,Mehmet Akif Ersoy,Kağıthane,İstanbul,7.100.000 TL,105,85,2 + 1,1,4 Katlı,Yüksek Giriş,11 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,Güney,400 TL,https://www.hepsiemlak.com/istanbul-kagithane-mehmet-akif-ersoy-satilik/daire/169846-4
111551-2160,Siyavuşpaşa,Bahçelievler,İstanbul,7.590.000 TL,85,77,2 + 1,1,5 Katlı,2. Kat,4 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-bahcelievler-siyavuspasa-satilik/daire/111551-2160
168238-5,Örenşehir,Manavgat,Antalya,11.800.000 TL,280,270,6 + 2,2,1 Katlı,,2 Yaşında,Soba,Eşyalı Değil,,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/antalya-manavgat-orensehir-satilik/mustakil-ev/168238-5
144584-122,Güzelyurt,Esenyurt,İstanbul,2.199.000 TL,95,79,2 + 1,,3 Katlı,Ara Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/144584-122
158894-70,15 Temmuz,Bağcılar,İstanbul,7.750.000 TL,148,97,5 + 1,2,5 Katlı,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Kiracılı,Kat İrtifakı,"Güney, Doğu",1.000 TL,https://www.hepsiemlak.com/istanbul-bagcilar-15-temmuz-satilik/daire/158894-70
158894-62,Güneşli,Bağcılar,İstanbul,5.250.000 TL,120,105,3 + 1,1,6 Katlı,3. Kat,21 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Hisseli Tapu,"Kuzey, Güney",250 TL,https://www.hepsiemlak.com/istanbul-bagcilar-gunesli-satilik/daire/158894-62
138754-183,Harman,Develi,Kayseri,2.750.000 TL,145,125,3 + 1,1,6 Katlı,5. Kat,11 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Doğu, Batı",,https://www.hepsiemlak.com/kayseri-develi-harman-satilik/daire/138754-183
167844-23,Üçevler,Esenyurt,İstanbul,1.100.000 TL,100,90,2 + 1,1,5 Katlı,Bahçe Katı,5 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,Güney,,https://www.hepsiemlak.com/istanbul-esenyurt-ucevler-satilik/daire/167844-23
132211-2040,Kestaneci,Ereğli,Zonguldak,8.950.000 TL,160,150,4 + 1,2,2 Katlı,,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",1 TL,https://www.hepsiemlak.com/zonguldak-eregli-kestaneci-satilik/villa/132211-2040
139790-159,Türközü,Mamak,Ankara,4.750.000 TL,110,100,3 + 1,1,4 Katlı,2. Kat,20 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Batı",,https://www.hepsiemlak.com/ankara-mamak-turkozu-satilik/daire/139790-159
110641-243,Cedidiye,Merkez,Düzce,3.100.000 TL,130,120,3 + 1,1,2 Katlı,2. Kat,11 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Doğu, Batı",300 TL,https://www.hepsiemlak.com/duzce-merkez-cedidiye-satilik/daire/110641-243
168990-26,Eğribucak,Melikgazi,Kayseri,13.950.000 TL,185,165,4 + 1,3,2 Katlı,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/kayseri-melikgazi-egribucak-satilik/villa/168990-26
144584-125,Güzelyurt,Esenyurt,İstanbul,1.840.000 TL,118,84,2 + 1,1,19 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Yabancıdan,Güney,,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/144584-125
148750-221,Yeni,Bandırma,Balıkesir,5.600.000 TL,105,100,2 + 1,2,3 Katlı,3. Kat,1 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,,https://www.hepsiemlak.com/balikesir-bandirma-yeni-satilik/daire/148750-221
148750-243,Kurşunlu,Karacabey,Bursa,6.250.000 TL,145,130,2 + 1,2,2 Katlı,2. Kat,4 Yaşında,Kombi,Eşyalı,,Kat Mülkiyeti,,,https://www.hepsiemlak.com/bursa-karacabey-kursunlu-satilik/daire/148750-243
137235-848,Kazımiye,Çorlu,Tekirdağ,4.615.000 TL,130,125,3 + 1,2,5 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu, Batı",600 TL,https://www.hepsiemlak.com/tekirdag-corlu-kazimiye-satilik/daire/137235-848
167990-17,Ovacık,Çeşme,İzmir,8.250.000 TL,70,62,2 + 1,2,3 Katlı,Bahçe Katı,6 Yaşında,Klima,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/izmir-cesme-ovacik-satilik/daire/167990-17
6675-8826,Ehlibeyt,Çankaya,Ankara,6.455.000 TL,120,99,3 + 1,1,4 Katlı,Yüksek Giriş,28 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",500 TL,https://www.hepsiemlak.com/ankara-cankaya-ehlibeyt-satilik/daire/6675-8826
8949-883,Çayyolu,Çankaya,Ankara,21.000.000 TL,180,160,3 + 1,2,17 Katlı,8. Kat,20 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Kiracılı,Kooperatiften H...,"Doğu, Batı",5.000 TL,https://www.hepsiemlak.com/ankara-cankaya-cayyolu-satilik/daire/8949-883
1094-4975,Avcılar,Edremit,Balıkesir,13.650.000 TL,215,165,4 + 2,2,2 Katlı,,26 Yaşında,Isı Pompası,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/balikesir-edremit-avcilar-satilik/villa/1094-4975
19500-1913,Osman Temiz,Çankaya,Ankara,3.950.000 TL,109,100,3 + 1,1,7 Katlı,Bahçe Katı,31 Yaşında,Merkezi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Batı",1.370 TL,https://www.hepsiemlak.com/ankara-cankaya-osman-temiz-satilik/daire/19500-1913
134963-93,Suadiye,Kadıköy,İstanbul,25.950.000 TL,125,90,3 + 1,2,12 Katlı,2. Kat,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Yabancıdan,Batı,,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/134963-93
18510-20038,Tevfik İleri,Pursaklar,Ankara,7.750.000 TL,185,170,4 + 1,2,12 Katlı,5. Kat,6 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Kiracılı,Yabancıdan,Güney,,https://www.hepsiemlak.com/ankara-pursaklar-tevfik-ileri-satilik/daire/18510-20038
155600-148,Nar (Aşağı),Merkez,Nevşehir,3.650.000 TL,83,60,5 + 1,1,,Bahçe Katı,31 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/nevsehir-merkez-nar-asagi-satilik/mustakil-ev/155600-148
155600-130,350 Evler,Merkez,Nevşehir,1.785.000 TL,55,50,1 + 1,1,5 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/nevsehir-merkez-350-evler-satilik/daire/155600-130
144584-124,Cumhuriyet,Beylikdüzü,İstanbul,1.420.000 TL,130,119,2 + 1,1,5 Katlı,Giriş Katı,4 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,Doğu,,https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-satilik/daire/144584-124
165529-1,Cumhuriyet,Küçükçekmece,İstanbul,8.950.000 TL,210,180,4 + 1,2,5 Katlı,5. Kat,5 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,Kuzey,500 TL,https://www.hepsiemlak.com/istanbul-kucukcekmece-cumhuriyet-satilik/daire/165529-1
168432-2,Konuksever,Muratpaşa,Antalya,5.250.000 TL,145,135,3 + 1,1,3 Katlı,2. Kat,27 Yaşında,Kombi,,,Kat İrtifakı,,,https://www.hepsiemlak.com/antalya-muratpasa-konuksever-satilik/daire/168432-2
16509-1251,Metin Oktay,Çankaya,Ankara,5.500.000 TL,115,97,3 + 1,1,3 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Batı",500 TL,https://www.hepsiemlak.com/ankara-cankaya-metin-oktay-satilik/daire/16509-1251
16509-1250,Umut,Çankaya,Ankara,4.350.000 TL,120,105,3 + 1,1,3 Katlı,3. Kat,31 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu",200 TL,https://www.hepsiemlak.com/ankara-cankaya-umut-satilik/daire/16509-1250
51676-4764,Tunahan,Etimesgut,Ankara,3.675.000 TL,57,50,1 + 1,1,5 Katlı,3. Kat,26 Yaşında,Merkezi,Eşyalı,Kiracılı,Kat Mülkiyeti,"Güney, Batı",2.028 TL,https://www.hepsiemlak.com/ankara-etimesgut-tunahan-satilik/daire/51676-4764
51676-4776,Devlet,Etimesgut,Ankara,6.345.000 TL,135,125,3 + 1,2,8 Katlı,4. Kat,26 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Doğu",1.000 TL,https://www.hepsiemlak.com/ankara-etimesgut-devlet-satilik/daire/51676-4776
134575-504,Pınarbaşı,Keçiören,Ankara,2.580.000 TL,125,120,3 + 1,1,2 Katlı,Giriş Katı,26 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Batı",200 TL,https://www.hepsiemlak.com/ankara-kecioren-pinarbasi-satilik/daire/134575-504
76986-111,Suadiye,Kadıköy,İstanbul,59.500.000 TL,180,150,3 + 1,2,11 Katlı,2. Kat,6 Yaşında,Yerden Isıtma,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/76986-111
5426-1028,Fikri Altay,Karşıyaka,İzmir,5.200.000 TL,104,87,2 + 1,2,5 Katlı,3. Kat,13 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,,,https://www.hepsiemlak.com/izmir-karsiyaka-fikri-altay-satilik/daire/5426-1028
5426-1024,Fikri Altay,Karşıyaka,İzmir,4.200.000 TL,85,68,2 + 1,1,5 Katlı,Yüksek Giriş,13 Yaşında,Kombi,,,Kat Mülkiyeti,,,https://www.hepsiemlak.com/izmir-karsiyaka-fikri-altay-satilik/daire/5426-1024
69132-571,İsmet İnönü,İskenderun,Hatay,2.550.000 TL,135,120,3 + 1,2,2 Katlı,3. Kat,17 Yaşında,Güneş Enerjisi,Eşyalı,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/hatay-iskenderun-ismet-inonu-satilik/daire/69132-571
170219-12,Fatih,Tire,İzmir,7.250.000 TL,170,150,4 + 1,2,2 Katlı,2. Kat,11 Yaşında,Kombi,,Kiracılı,Müstakil Tapulu,,,https://www.hepsiemlak.com/izmir-tire-fatih-satilik/daire/170219-12
126053-268,Kepez,Ereğli,Zonguldak,5.800.000 TL,140,125,3 + 1,2,10 Katlı,8. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,,1.000 TL,https://www.hepsiemlak.com/zonguldak-eregli-kepez-satilik/daire/126053-268
3990-3532,Küçükyalı,Maltepe,İstanbul,9.400.000 TL,110,90,2 + 1,2,4 Katlı,1. Kat,11 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/istanbul-maltepe-kucukyali-satilik/daire/3990-3532
3990-3681,Altıntepe,Maltepe,İstanbul,8.975.000 TL,77,71,2 + 1,1,4 Katlı,Bahçe Katı,15 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Doğu,,https://www.hepsiemlak.com/istanbul-maltepe-altintepe-satilik/daire/3990-3681
155350-12,Rumeli,Çorlu,Tekirdağ,3.950.000 TL,110,90,2 + 1,1,5 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Kiracılı,Tapu Yok,Güney,,https://www.hepsiemlak.com/tekirdag-corlu-rumeli-satilik/daire/155350-12
70127-2182,Güzelyalı,Pendik,İstanbul,38.000.000 TL,350,244,5 + 2,4,3 Katlı,,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-pendik-guzelyali-satilik/villa/70127-2182
130911-5412,Gültepe,Sarıçam,Adana,1.875.000 TL,60,50,1 + 1,1,14 Katlı,9. Kat,2 Yaşında,Klima,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/adana-saricam-gultepe-satilik/daire/130911-5412
167067-18,Yenişafak,Merkezefendi,Denizli,11.500.000 TL,200,185,3 + 1,2,5 Katlı,5. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu, Batı",,https://www.hepsiemlak.com/denizli-merkezefendi-yenisafak-satilik/daire/167067-18
167067-30,Şemikler,Merkezefendi,Denizli,6.750.000 TL,148,120,3 + 1,1,8 Katlı,3. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",1.250 TL,https://www.hepsiemlak.com/denizli-merkezefendi-semikler-satilik/daire/167067-30
167067-33,Şemikler,Merkezefendi,Denizli,10.500.000 TL,185,160,3 + 1,2,8 Katlı,8. Kat,1 Yaşında,Yerden Isıtma,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",3.700 TL,https://www.hepsiemlak.com/denizli-merkezefendi-semikler-satilik/daire/167067-33
163231-11,Misket,Mamak,Ankara,3.850.000 TL,125,115,3 + 1,1,4 Katlı,Çatı Katı,14 Yaşında,Kombi,Eşyalı,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/ankara-mamak-misket-satilik/daire/163231-11
167067-32,Karahasanlı,Merkezefendi,Denizli,4.400.000 TL,85,80,2 + 1,1,4 Katlı,2. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/denizli-merkezefendi-karahasanli-satilik/daire/167067-32
160764-46,Çiftlikönü,Süleymanpaşa,Tekirdağ,5.600.000 TL,70,60,2 + 1,1,4 Katlı,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,,,https://www.hepsiemlak.com/tekirdag-suleymanpasa-ciftlikonu-satilik/daire/160764-46
129990-333,Fatih,Ereğli,Konya,3.750.000 TL,150,130,3 + 1,1,5 Katlı,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/konya-eregli-fatih-satilik/daire/129990-333
129990-313,Hacı Mütahir,Ereğli,Konya,2.800.000 TL,160,135,3 + 1,1,4 Katlı,Ara Kat,30 Yaşında,Merkezi,Eşyalı Değil,Boş,Kat Mülkiyeti,Batı,,https://www.hepsiemlak.com/konya-eregli-haci-mutahir-satilik/daire/129990-313
129990-308,Toros,Ereğli,Konya,1.280.000 TL,60,40,1 + 1,1,5 Katlı,Ara Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Batı",,https://www.hepsiemlak.com/konya-eregli-toros-satilik/daire/129990-308
156147-85,Balıklıova,Urla,İzmir,5.700.000 TL,120,80,2 + 1,1,2 Katlı,Bahçe Katı,31 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/izmir-urla-balikliova-satilik/yazlik/156147-85
170326-7,İstasyon,Alaşehir,Manisa,6.100.000 TL,160,150,3 + 1,1,5 Katlı,4. Kat,11 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,,,https://www.hepsiemlak.com/manisa-alasehir-istasyon-satilik/daire/170326-7
156147-60,Onur,Balçova,İzmir,6.500.000 TL,120,110,3 + 1,2,3 Katlı,1. Kat,31 Yaşında,Jeotermal Isıtm...,Eşyalı Değil,Kiracılı,Kat İrtifakı,,,https://www.hepsiemlak.com/izmir-balcova-onur-satilik/daire/156147-60
146119-240,Nine Hatun,Esenler,İstanbul,6.200.000 TL,130,120,3 + 1,1,6 Katlı,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Hisseli Tapu,Güney,200 TL,https://www.hepsiemlak.com/istanbul-esenler-nine-hatun-satilik/daire/146119-240
136375-1086,Atatürk,Esenyurt,İstanbul,2.350.000 TL,62,60,1 + 1,1,8 Katlı,6. Kat,11 Yaşında,Kombi,Eşyalı,Boş,Kat Mülkiyeti,"Güney, Doğu",3.500 TL,https://www.hepsiemlak.com/istanbul-esenyurt-ataturk-satilik/daire/136375-1086
96837-459,Arpaderesi,Arsuz,Hatay,11.000.000 TL,200,150,3 + 1,1,2 Katlı,,25 Yaşında,Belirtilmemiş,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/hatay-arsuz-arpaderesi-satilik/villa/96837-459
47587-1276,İlkbahar,Çankaya,Ankara,13.000.000 TL,280,270,5 + 1,2,28 Katlı,21 ve üzeri,8 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Batı",5.000 TL,https://www.hepsiemlak.com/ankara-cankaya-ilkbahar-satilik/daire/47587-1276
6019-2622,Mecidiyeköy,Şişli,İstanbul,4.800.000 TL,85,84,2 + 1,1,5 Katlı,2. Kat,20 Yaşında,Kombi,Eşyalı,Boş,Arsa,"Doğu, Batı",,https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-satilik/daire/6019-2622
70173-2076,Fatih,Ereğli,Konya,4.400.000 TL,175,145,3 + 1,2,8 Katlı,2. Kat,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Batı",,https://www.hepsiemlak.com/konya-eregli-fatih-satilik/daire/70173-2076
70173-2064,Çömlekçi,Ereğli,Konya,3.750.000 TL,160,140,3 + 1,2,9 Katlı,9. Kat,10 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Batı",600 TL,https://www.hepsiemlak.com/konya-eregli-comlekci-satilik/daire/70173-2064
139421-265,Durantaş,Şahinbey,Gaziantep,64.000.000 TL,9900,8000,3 + 1,1,2 Katlı,Bahçe Katı,Sıfır Bina,Klima,Eşyalı Değil,Boş,Müstakil Tapulu,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/gaziantep-sahinbey-durantas-satilik/villa/139421-265
139421-259,Fidanlık,Şahinbey,Gaziantep,3.750.000 TL,125,120,2 + 1,1,6 Katlı,4. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/gaziantep-sahinbey-fidanlik-satilik/daire/139421-259
139421-264,Sarıgüllük,Şehitkamil,Gaziantep,6.500.000 TL,115,105,2 + 1,1,7 Katlı,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/gaziantep-sehitkamil-sarigulluk-satilik/daire/139421-264
95442-484,Cumhuriyet,Küçükçekmece,İstanbul,6.850.000 TL,230,218,4 + 2,2,4 Katlı,3. Kat,16 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,,,https://www.hepsiemlak.com/istanbul-kucukcekmece-cumhuriyet-satilik/daire/95442-484
57252-197,Esenboğa Merkez,Çubuk,Ankara,2.500.000 TL,43,40,1 + 1,1,9 Katlı,Ara Kat,6 Yaşında,Kombi,Eşyalı,Boş,Kat Mülkiyeti,Doğu,,https://www.hepsiemlak.com/ankara-cubuk-esenboga-merkez-satilik/daire/57252-197
69537-102911,Göktürk Merkez,Eyüpsultan,İstanbul,51.500.000 TL,245,190,4 + 1,3,6 Katlı,5. Kat,13 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Doğu, Batı",,https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-satilik/residence/69537-102911
84758-383,Kemalpaşa,İzmit,Kocaeli,3.450.000 TL,130,120,3 + 1,1,6 Katlı,En Üst Kat,25 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney",,https://www.hepsiemlak.com/kocaeli-izmit-kemalpasa-satilik/daire/84758-383
126649-20,Mimar Sinan,Tuzla,İstanbul,5.050.000 TL,94,86,2 + 1,1,4 Katlı,1. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-tuzla-mimar-sinan-satilik/daire/126649-20
126649-35,Mimar Sinan,Tuzla,İstanbul,5.100.000 TL,92,84,2 + 1,1,4 Katlı,2. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-tuzla-mimar-sinan-satilik/daire/126649-35
126649-32,Kavakpınar,Pendik,İstanbul,6.250.000 TL,105,88,2 + 1,2,9 Katlı,7. Kat,6 Yaşında,Yerden Isıtma,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Doğu",2.500 TL,https://www.hepsiemlak.com/istanbul-pendik-kavakpinar-satilik/daire/126649-32
129057-468,Aydınlıkevler,Altındağ,Ankara,3.750.000 TL,110,100,3 + 1,1,3 Katlı,3. Kat,31 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu",,https://www.hepsiemlak.com/ankara-altindag-aydinlikevler-satilik/daire/129057-468
69833-219,Atayurt,Etimesgut,Ankara,3.600.000 TL,46,41,1 + 1,1,11 Katlı,1. Kat,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-etimesgut-atayurt-satilik/daire/69833-219
168367-14,Pınarbaşı,Keçiören,Ankara,3.890.000 TL,125,108,2 + 0,1,4 Katlı,Giriş Katı,30 Yaşında,Kombi,,Boş,Kat Mülkiyeti,Güney,250 TL,https://www.hepsiemlak.com/ankara-kecioren-pinarbasi-satilik/daire/168367-14
16761-33337,Şehit Cevdet Özdemir,Çankaya,Ankara,3.950.000 TL,105,100,2 + 1,2,2 Katlı,Bahçe Katı,26 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu",350 TL,https://www.hepsiemlak.com/ankara-cankaya-sehit-cevdet-ozdemir-satilik/daire/16761-33337
16761-33324,Harbiye,Çankaya,Ankara,7.149.000 TL,125,120,3 + 1,1,3 Katlı,2. Kat,29 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Doğu,500 TL,https://www.hepsiemlak.com/ankara-cankaya-harbiye-satilik/daire/16761-33324
16761-33321,Sancak,Çankaya,Ankara,12.490.000 TL,275,225,4 + 1,2,4 Katlı,4. Kat,19 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",700 TL,https://www.hepsiemlak.com/ankara-cankaya-sancak-satilik/daire/16761-33321
94653-323,Karaseki,Avanos,Nevşehir,5.800.000 TL,130,120,3 + 1,1,2 Katlı,2. Kat,26 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Müstakil Tapulu,,,https://www.hepsiemlak.com/nevsehir-avanos-karaseki-satilik/daire/94653-323
16407-12141,Topçu,Etimesgut,Ankara,3.365.000 TL,100,90,2 + 1,1,3 Katlı,En Üst Kat,20 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Kuzey,200 TL,https://www.hepsiemlak.com/ankara-etimesgut-topcu-satilik/daire/16407-12141
169504-12,Çavuş,Şile,İstanbul,12.600.000 TL,181,161,3 + 2,2,4 Katlı,4. Kat,4 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-sile-cavus-satilik/daire/169504-12
