ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
46572-11871,Yahya Kemal,Kağıthane,İstanbul,8.395.000 TL,100,90,2 + 1,1,7 Katlı,7. Kat,3 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",2.300 TL,https://www.hepsiemlak.com/istanbul-kagithane-yahya-kemal-satilik/daire/46572-11871
72721-2086,Bahçeşehir 2. Kısım,Başakşehir,İstanbul,10.500.000 TL,160,135,3 + 1,2,14 Katlı,1. Kat,21 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Doğu, Batı",,https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-satilik/daire/72721-2086
165223-136,Cumhuriyet,Beylikdüzü,İstanbul,4.280.000 TL,130,110,2 + 1,1,6 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-satilik/daire/165223-136
133382-726,Kavaklı,Beylikdüzü,İstanbul,5.199.000 TL,105,95,2 + 1,1,5 Katlı,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-kavakli-satilik/daire/133382-726
133139-2050,Alemdağ,Çekmeköy,İstanbul,5.049.999 TL,112,93,2 + 1,1,4 Katlı,Yüksek Giriş,5 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-cekmekoy-alemdag-satilik/daire/133139-2050
151807-76,Cumhuriyet,Beylikdüzü,İstanbul,1.725.000 TL,95,80,1 + 1,1,21 Katlı,14. Kat,3 Yaşında,Kombi,Eşyalı,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",1.150 TL,https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-satilik/daire/151807-76
151807-91,Yakuplu,Beylikdüzü,İstanbul,2.925.000 TL,120,100,2 + 1,2,6 Katlı,2. Kat,4 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",425 TL,https://www.hepsiemlak.com/istanbul-beylikduzu-yakuplu-satilik/daire/151807-91
124190-572,Cumhuriyet,Beylikdüzü,İstanbul,1.829.000 TL,100,90,2 + 1,1,4 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-satilik/daire/124190-572
133139-2043,Mimar Sinan,Sultanbeyli,İstanbul,4.775.000 TL,130,110,3 + 1,1,3 Katlı,1. Kat,5 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-sultanbeyli-mimar-sinan-satilik/daire/133139-2043
150653-117,Kuruçeşme,Beşiktaş,İstanbul,7.800.000 TL,135,95,2 + 1,1,5 Katlı,5. Kat,35 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-besiktas-kurucesme-satilik/daire/150653-117
